,Games,Over/Under,3-way
0,"Sporting de Charleroi
AS Eupen",2.5 1.67 2.20,1.82 3.95 4.20
1,"Standard Luik
Kortrijk",2.5 1.75 2.08,2.15 3.60 3.35
2,"Beerschot
Seraing United",2.5 1.83 1.98,2.45 3.35 3.00
3,"Sint-Truiden
Club Brugge",2.5 1.77 2.06,5.75 4.30 1.57
4,"Zulte Waregem
KRC Genk",3.5 2.06 1.77,5.00 4.25 1.65
5,"France (honey) Esports
Portugal (l10n) Esports",/,/
6,"Germany (Muromets) Esports
Brazil (gambit) Esports",0.5 1.89 2.00,4.25 1.74 3.60
7,"GC Mascara
ASM Oran",2.5 2.07 1.68,2.38 3.10 2.55
8,"JSM Béjaïa
Hamra Annaba",2.5 1.91 1.81,1.33 4.10 6.50
9,"Témouchent
MC Saïda",2.5 2.05 1.68,1.50 3.45 5.40
10,"Annaba
CA Batna",2.5 2.48 1.48,1.45 3.40 6.50
11,"Bordj Bou Arreridj
IRB Lakhdaria",1.5 1.50 2.40,1.61 3.25 4.80
12,"MO Constantine
US Chaouia",1.5 1.52 2.38,2.35 2.80 2.80
13,"JSM Skikda
NRB Teleghma",2.5 2.32 1.55,2.14 2.90 3.10
14,"Progresso Do Sambizanga
Sporting De Cabinda",1.5 1.49 2.45,2.20 2.75 3.40
15,"Kabuscorp S.C.P.
Atlético Petróleos de Luanda",2.5 2.14 1.64,9.00 4.00 1.33
16,"Platense (ARG)
Atlético Tucumán",2.5 2.04 1.73,2.65 3.00 2.65
17,"Arsenal de Sarandi
Sarmiento",2.5 2.50 1.50,2.45 2.88 3.00
18,"Banfield
Velez Sarsfield",2.5 2.38 1.54,3.55 3.00 2.10
19,"Club Atletico Talleres
Atlético Huracán",2.5 2.25 1.61,1.93 3.20 3.90
20,"Boca Juniors
Gimnasia La Plata",2.5 2.28 1.63,1.68 3.35 5.10
21,"CA Atlanta
Estudiantes de Buenos Aires",1.5 1.50 2.48,3.00 2.60 2.60
22,"Gimnasia y Esgrima Mendoza
Estudiantes De Río Cuarto",2.5 2.55 1.49,1.95 2.80 4.20
23,"San Martin San Juan
Instituto AC Córdoba",2.5 2.38 1.55,2.05 3.00 3.50
